Partner Name;lat;long;price_factor;Capacity of Biggest Vehicle Given;Capacity of Smallest Vehicle Given;Vehicles Given
Aquilon 1;47.1233646;8.2450963;1.3;72.0;6.0;10.0
Voyages Gounon / Saint Etienne 1;48.1422938;11.549447699999973;1.0;80.0;49.0;1.0
Voyages Gounon / Monistrol sur Loire 1;47.290098;8.0900693;1.3;49.0;49.0;1.0
Monddia France Paris 1;47.404625;8.1351493;1.3;49.0;49.0;1.0
Abscisse cars 1;46.794746;7.5818224;1.3;49.0;49.0;1.0
Voyages Le Monnier 1;46.755181;7.6163891;1.3;49.0;49.0;1.0
Morey Voyages 1;46.667775;7.8730671;1.3;49.0;49.0;1.0
Trans 2000 1;54.421606999999995;11.678467;1.0;79.0;7.0;10.0
SAS Sarasin 1;52.400796;13.216008999999984;1.0;61.0;28.0;10.0
Autun Tourisme 1;53.28341999999999;11.566800000000056;1.0;53.0;53.0;1.0
Rapides de Saone et Loire 1;51.9160136;12.784660000000029;1.0;53.0;49.0;4.0
GO! Express & Logistics Berlin 1;52.914575199999994;13.717036099999973;1.0;50.0;34.0;4.0
Euroway Paris 1;48.1773016;-0.8701257;1.0;0.0;0.0;0.0
Gilbert James Voyages 1;53.34992389999999;14.572944000000007;0.6;53.0;49.0;3.0
Chaumont Voyages 1;41.791715;12.7630269;1.0;78.0;8.0;0.0
Montaresi 1;41.8947584;12.377995999999941;1.0;61.0;19.0;6.0
Rampinini 1;53.368405;14.655938600000011;0.6;30.0;8.0;5.0
SAP Viaggi 1;41.8295185;12.523780999999984;1.0;62.0;18.0;17.0
Sibona Viaggi 1;45.684233;9.68731600000001;1.0;0.0;0.0;0.0
ADS Transports 1;45.6104652;9.540955599999961;1.0;82.0;8.0;34.0
VITA Group 1;45.5910111;10.440806599999975;1.0;87.0;19.0;15.0
Zanconato Viaggi 1;45.5363941;9.537968600000001;1.0;85.0;8.0;20.0
BASSO TURISMO 1;45.752922999999996;9.323293000000037;1.0;60.0;20.0;10.0
ALA Bus 1;43.809607;4.333034;1.0;53.0;7.0;2.0
Albani bus 1;51.24451;4.423714;1.0;0.0;0.0;0.0
ALLASIA/DE FRANCESCO 1;51.7509229;5.211887899999965;1.0;0.0;0.0;0.0
no more interested AUTOGUIDOVIE 1;52.651219999999995;13.204870000000026;1.0;74.0;8.0;30.0
Autocars N&M 1;53.46192139999999;11.496213899999931;1.0;74.0;8.0;30.0
Philibert / Caluire 1;53.5525546;10.005403200000046;1.0;70.0;10.0;10.0
P.H.U. LiBUS.pl 1;53.246669700000005;10.411181599999964;1.0;70.0;10.0;10.0
PRO-LINE Przewozy Osobowe 1;47.852465;1.090299;1.0;89.0;8.0;90.0
TorunskiBus.pl FHU KANT Donata Kant-Wojnowska 1;51.9896927;5.0997084;1.0;0.0;0.0;0.0
MPA Poland Kacper Szester 1;49.2177;10.907720000000038;1.0;81.0;8.0;20.0
Autolinee COSTA 1;52.23900099999999;12.97005630000001;1.0;53.0;48.0;15.0
Autolinee Selitto 1;46.7558114;-0.9588402;1.0;63.0;0.0;0.0
Albatros Travel 1;54.304916799999994;18.544243499999997;0.6;55.0;8.0;12.0
AUTOSERVIZI CAPOZZO 1;50.267070800000006;19.02988930000004;0.6;69.0;22.0;7.0
AUTOSERVIZI CATTANEO 1;50.099823;19.96203289999994;0.6;69.0;22.0;7.0
Transports Migratour 1;53.4282191;14.538570599999955;0.6;49.0;6.0;8.0
VIVER 1;45.293238;-0.6169479999999999;1.0;90.0;53.0;40.0
AUTOSERVIZI GLC 1;45.433363;-0.44335699999999995;1.0;90.0;53.0;40.0
AUTOSERVIZI ROVARIS 1;43.376203000000004;5.226577;1.0;63.0;19.0;135.0
BAGNARA 1;43.28215;5.522386;1.0;63.0;19.0;135.0
BETTINI ITALO AUTOSERVIZI 1;48.9250239;2.318232699999953;1.0;83.0;8.0;60.0
BONAVENTURA EXPRESS 1;51.486366499999995;-0.3813370999999961;1.0;83.0;8.0;60.0
Brec Viaggi 1;52.182263899999995;20.921640900000053;0.6;83.0;8.0;60.0
BROCADELLO VIAGGI 1;49.498721200000006;0.1876017;1.0;0.0;0.0;0.0
BUS LORENZI 1;46.98211729999999;-1.3224437;1.0;78.0;8.0;12.0
BUSNELLI VIAGGI 1;50.0537405;19.956816000000003;0.6;49.0;7.0;20.0
STDM Châlons-en-Champagne 1;43.930459;4.7803260000000005;1.0;61.0;7.0;70.0
CALCIOTTI BUS 1;43.482424;5.385389;1.0;61.0;7.0;70.0
CANIGGIABUS SRL 1;43.441218;5.24073;1.0;61.0;7.0;70.0
CASAROTTO 1;43.283998;5.597258999999999;1.0;61.0;7.0;70.0
Limousinen- und Airportservice Tirol - Georg Entleitner 1;43.4006018;5.2521986;1.0;0.0;0.0;0.0
Cavinato 1;45.59034570000001;6.3868981;1.0;63.0;9.0;88.0
CAVOURESE 1;45.56995379999999;5.6000448;1.0;63.0;9.0;88.0
DE MARCHI 1;48.60532;6.3535900000000005;1.0;65.0;27.0;15.0
EURO TOURS 1;43.79578;1.605817;1.0;61.0;34.0;2.0
Frigerio Viaggi 1;49.495900899999995;0.0611451;1.0;80.0;2.0;130.0
GARBELLINI 1;49.4115752;1.0072055;1.0;80.0;2.0;130.0
MABB AUTOSERVIZI 1;45.2686035;1.7313020000000001;1.0;64.0;22.0;10.0
MARTINI BUS 1;45.184220700000004;5.680523;1.0;65.0;7.0;40.0
Spreafico Bus 1;45.356919;6.009334;1.0;65.0;7.0;40.0
TERZO MILLENNNIO TRAVEL 1;44.021797;1.2945149;1.0;65.0;8.0;95.0
Advantour Transports 1;50.283475;3.926086;1.0;78.0;30.0;8.0
F.H.U. Rapido Wise?ka Ma?gorzata 1;50.422914;4.3575704;1.0;78.0;30.0;8.0
ARIWA – BUS AUTOKAROWY PRZEWÓZ OSÓB ?elubowski Adrian 1;46.7835162;-0.8270719000000001;1.0;78.0;8.0;12.0
Margo Trans Marek Sowa 1;53.43367320000001;9.905223699999963;1.0;48.0;44.0;19.0
Komercyjne Linie Autobusowe LUZ sp. z o.o. 1;54.76295090000001;9.450425200000039;1.0;48.0;44.0;19.0
Tukan Travel 1;43.238789700000005;0.030266;1.0;61.0;19.0;13.0
Actibus 1;43.6008029;1.3628008999999999;1.0;61.0;19.0;13.0
Nordisk wynajem autokarów i busów 1;47.999801399999996;2.7213564999999997;1.0;63.0;36.0;17.0
Guilloux Voyages 1;48.1804783;2.2326189;1.0;63.0;36.0;17.0
Cellier Chevanet 1;52.180125;21.579307400000058;0.6;54.0;7.0;10.0
Cars Delaye 1;46.4818226;3.9833472000000003;1.0;0.0;0.0;0.0
Voyages Seyt 1;52.2914299;21.10045500000001;0.6;61.0;6.0;25.0
Autocars Lecoeur 1;46.6113407;0.3404836;1.0;0.0;0.0;0.0
Cars Bierce 1;40.88038;14.268839999999999;1.0;59.0;51.0;6.0
IWA-TRANS Sylwester Sikora 1;41.823888000000004;12.381346699999998;1.0;59.0;51.0;6.0
“KAMBUS” PRZEWÓZ OSÓB AUTOBUSEM Dariusz Kamykowski 1;45.49523000000001;12.144139999999993;1.0;58.0;51.0;8.0
PRZEDSI?BIORSTWO TRANSPORTOWE „GLOB – TRANS” 1;45.51223539999999;12.345683199999941;1.0;56.0;8.0;100.0
Travel-Bus Wynajem busów i autokarów 1;48.453798;-2.499389;1.0;61.0;8.0;7.0
Firma Transportu Drogowego FENIKS Jan Kaziród 1;41.845965299999996;12.343021399999998;1.0;54.0;8.0;30.0
VIP TRAVEL Kalupa Tadeusz 1;40.177503200000004;18.166036300000002;1.0;54.0;8.0;30.0
P.W. KAROLUS-TRAVEL Krzysztof Przybylak 1;41.8931242;12.528237399999965;1.0;64.0;8.0;10.0
B.E. Green 1;43.507903999999996;11.709104000000027;1.0;80.0;29.0;7.0
Littoral Nord Autocars 1;42.505635;11.207179900000027;1.0;56.0;15.0;14.0
LuxSebTrans Przewozy Krajowe i Mi?dzynarodowe Sebastian Ró?ewicz 1;46.571178;0.356649;1.0;61.0;44.0;5.0
Europ Voyages 18 1;49.022653999999996;1.1834136;1.0;0.0;0.0;0.0
PTU OSKAR TRANS Sp. z o.o. 1;49.507873;4.382332;1.0;56.0;8.0;20.0
P.H.U Alfa 1;49.221783;4.107914;1.0;59.0;53.0;8.0
Heliotur - Agencja Transportowa 1;46.0619202;4.0777345;1.0;0.0;0.0;0.0
F.U.H. GLOBEX-BUS 1;45.4241649;4.3856356;1.0;0.0;0.0;0.0
ASTEL- Przewóz osób 1;45.279204;4.183859;1.0;0.0;0.0;0.0
INTER AUTO-BUS M. Marciniak 1;48.994619;1.648909;1.0;57.0;22.0;6.0
Bourrée Voyages 1;48.839282;2.545111;1.0;63.0;19.0;10.0
P.U. DROLOFF 1;49.1202771;-0.1820271;1.0;0.0;0.0;0.0
Hervouet 1;47.356295;5.026491;1.0;53.0;7.0;7.0
Rosa Voyages 1;47.222;4.9999283;1.0;0.0;0.0;0.0
Sotram Mathieu 1;46.596297;4.067921;1.0;51.0;8.0;7.0
Transchmitt 1;46.957408;4.294537;1.0;57.0;9.0;11.0
TudingBus 1;46.295895;4.814344;1.0;57.0;9.0;28.0
Voyages Vincent 1;46.633953999999996;5.245385;1.0;57.0;9.0;28.0
Marek Stankiewicz 1;46.66195;4.3361160000000005;1.0;57.0;9.0;28.0
Voyages Baudin 1;46.956154999999995;4.296512;1.0;57.0;9.0;28.0
Impex-Trans 1;52.533291000000006;13.273625000000038;1.0;0.0;0.0;0.0
AGMAR PRZEWÓZ OSÓB I TOWARÓW 1;48.710109;2.540101;1.0;65.0;7.0;10.0
MiszTour Misztal Stanis?aw 1;48.779106;2.4316169999999997;1.0;80.0;16.0;27.0
Transport Brigitte Lavalade 1;48.940575;2.2959240000000003;1.0;83.0;19.0;15.0
Omnibusunternehmen Mikanovic 1;43.668943799999994;10.438903200000027;1.0;55.0;19.0;8.0
Marco Polo Tours srl 1;45.79121500000001;9.344706999999973;1.0;86.0;25.0;25.0
Salaün Autocars 1;43.370446;13.630082999999999;1.0;85.0;19.0;9.0
Firma Transportowo-Us?ugowa M&S URSZULA GALI?SKA 1;44.9435595;7.6324078999999765;1.0;64.0;19.0;8.0
RYSZARD Osobowy i Autobusowy Transport Drogowy 1;46.5783016;0.3354762;1.0;103.0;9.0;2.0
ANTOM TOUR BIS SP. Z O.O. 1;44.9435595;7.6324078999999765;1.0;93.0;9.0;27.0
Sprint Travel Ma?ecki Grzegorz 1;45.5181526;11.332578799999965;1.0;87.0;8.0;5.0
Biuro Przewozów Autokarowych GOLEC-TOURIST 1;44.731590000000004;8.306111999999999;1.0;56.0;8.0;15.0
SNCF Voyages 1;43.641485100000004;11.541274099999999;1.0;54.0;8.0;13.0
F.H.U.Mercedes-Bus 1;46.538171000000006;12.138064;1.0;54.0;17.0;19.0
Evasion Transport (Navettes) 1;44.988260100000005;7.667581299999999;1.0;64.0;8.0;12.0
Fransejour 1;44.389472;7.53982;1.0;0.0;0.0;0.0
NAWROCKI Group Sp. z o.o. 1;45.707306;4.768716;1.0;49.0;7.0;15.0
Sudenburger Reise-Spatz GmbH 1;45.804496;4.871823;1.0;63.0;8.0;25.0
Schumachers Reisedienst 1;53.135146;17.90536499999996;0.6;54.0;8.0;10.0
van der Ahe - Reisen GmbH Co. KG 1;53.044263;18.626566899999943;0.6;54.0;20.0;7.0
Heinrich GmbH Busunternehmen und Reisebüro 1;53.011975899999996;18.589484999999968;0.6;83.0;9.0;6.0
Dommasch's Reisen 1;54.39020920000001;18.392196099999982;0.6;50.0;8.0;5.0
Biuro Turystyczne Ewa Ewa Fercho 1;44.7942799;7.9770265;1.0;54.0;36.0;7.0
Krajowe i Mi?dzynarodowe Przewozy Osób Ireneusz Szczepa?ski 1;41.757255;15.424923000000001;1.0;81.0;19.0;16.0
PKS Przedsi?biorstwo Komunikacji Samochodowej Sp. z o. o. w Koszalinie 1;54.47056120000001;18.453043799999925;0.6;52.0;9.0;10.0
Ali-Baba Przewozy Autokarowe S.J. Lilla Jab?onowska 1;44.698333;7.886880000000001;1.0;61.0;8.0;20.0
JOSY SCHWANGER SAS / Kogenheim 1;45.74714;9.26803;1.0;79.0;8.0;0.0
DPP Dar?owskie Przedsi?biorstwo Przewozowe Sp. z o.o. 1;45.63987;4.89369;1.0;63.0;9.0;15.0
Autoservizi Diamante 1;45.056963;3.792268;1.0;63.0;9.0;15.0
Mazzola Viaggi 1;52.533484400000006;19.679311699999968;0.6;49.0;49.0;9.0
Erichson Touristik 1;52.991110899999995;18.646848999999975;0.6;49.0;49.0;9.0
Nooteboom Tours 1;52.6419767;19.08250279999993;0.6;49.0;49.0;9.0
TED BUS TADEUSZ MAMOT 1;45.818934399999996;8.836356199999999;1.0;0.0;0.0;0.0
AUTO-KARS RZ?DKOWSKI US?UGI TRANSPORTOWE STANIS?AW RZ?DKOWSKI 1;41.60323629999999;12.647695800000001;1.0;64.0;16.0;14.0
RADEKTRAVEL 1;45.720636999999996;11.725048;1.0;54.0;8.0;9.0
Le-trans Leszek Czarnota 1;45.361468;10.221474;1.0;52.0;49.0;10.0
F.H.U. TRAVEL-PLUS 1;45.93456;12.591283;1.0;80.0;19.0;20.0
De Franceschi Genova 1;45.582228;10.94215;1.0;64.0;8.0;14.0
Schröder Langzeitbus 2 1;45.289876;12.0234234;1.0;53.0;49.0;5.0
Schröder Langzeitbus 3 1;45.57495720000001;9.693956;1.0;55.0;8.0;20.0
VBM Busreisen GmbH München 1;45.471588;9.336633;1.0;55.0;8.0;11.0
Omnibus & Reiseservice Olaf Weingart e.K 1;48.957612;4.3418339999999995;1.0;65.0;51.0;7.0
Cars Saint Laurent/ Saran 1;41.726559;12.832374;1.0;0.0;0.0;0.0
MODO Transport 1;44.871384899999995;8.707877000000053;1.0;56.0;6.0;8.0
P.P.H.U MERC-BUS Piotr Guzdek 1;45.635958;11.549142999999999;1.0;54.0;7.0;10.0
Autocars Douaisiens 1;47.4912928;12.062674300000026;1.0;8.0;4.0;8.0
Biuro turystyczne „Turysta” 1;45.391696;11.718568;1.0;54.0;8.0;15.0
VTNI Grand Rouen 1;44.813747;7.2508719999999585;1.0;79.0;52.0;15.0
NAP Tourisme/ Lancon 1;45.782139;12.227171;1.0;64.0;28.0;7.0
Centrum Wynajmu Autokarów Ma?gorzata i Zdzis?aw Mateccy 1;45.586894;12.302760000000001;1.0;57.0;9.0;15.0
SARL TRANSHORIZON AUTOCARS/ Berson 1;45.699167100000004;9.215979999999943;1.0;74.0;16.0;17.0
Viking Bus przewozy autokarowe Marek Jasi?ski 1;45.2089057;12.290130699999999;1.0;79.0;19.0;0.0
i.d.ee - Reisen 1;45.0518249;11.779291100000027;1.0;79.0;19.0;0.0
Le Bon Voyage 1;45.81846470000001;10.0350916;1.0;63.0;8.0;15.0
Us?ugi Transportowe Andrzej Zdrojewski 1;45.4931033;12.279123600000048;1.0;57.0;16.0;13.0
Panda - Bus 1;45.79121500000001;9.344706999999973;1.0;84.0;8.0;17.0
ARPA TRAVEL Biuro podró?y 1;43.7;10.4389034;1.0;53.0;50.0;2.0
ROMAN KLEGR 1;49.746067;3.7714540000000003;1.0;57.0;8.0;10.0
Élorn évasion 1;49.641486;18.865620000000035;0.6;59.0;6.0;30.0
Abers Voyages 1;51.117074;16.927523000000065;0.6;62.0;17.0;7.0
Pelánbus - Petr Pelán 1;51.1159127;17.057305799999995;0.6;93.0;57.0;6.0
Auray Voyages 1;50.6643064;17.92548750000003;0.6;65.0;9.0;23.0
Przewozy Autokarowe Krajowe i Zagraniczne Edward Hejmanowski 1;51.09124990000001;17.043345999999932;0.6;59.0;20.0;4.0
Omnibusbetrieb Mahler 1;45.345621;5.573517;1.0;60.0;8.0;18.0
Ernst Schubert Busreisen 1;52.134556599999996;21.068986499999934;0.6;69.0;7.0;11.0
VTNI / Calvados 1;49.505047;4.382378;1.0;57.0;51.0;5.0
Martin Berka 1;45.7986314;3.2386361;1.0;60.0;18.0;14.0
Cars la Populaire 1;45.890627;3.079498;1.0;57.0;22.0;20.0
Autocars Laurès 1;45.042162;3.085635;1.0;61.0;51.0;20.0
SARL Transcevenol - Cars MONTET 1;45.400996;2.495397;1.0;61.0;51.0;20.0
Graziani Viaggi S.r.l. 1;45.767363;3.3026480000000005;1.0;61.0;51.0;20.0
Shawburn Mini Bus Hire Ltd 1;48.085409999999996;-4.361000000000001;1.0;0.0;0.0;0.0
Safe travel s.r.o. 1;46.056049;4.047937999999999;1.0;83.0;19.0;60.0
KT BUS s.r.o. 1;51.7278233;19.435344699999973;0.6;49.0;49.0;4.0
Transports Martin 1;51.7278233;19.435344699999973;0.6;49.0;49.0;4.0
Cars Olivier 1;51.7278233;19.435344699999973;0.6;49.0;49.0;4.0
Cars Jarraud 1;49.923058000000005;21.019770999999988;0.6;58.0;26.0;5.0
Loc Cars et Bus 1;51.763571500000005;19.40481769999997;0.6;59.0;8.0;10.0
Massy Voyages 1;49.676348;19.086928899999975;0.6;55.0;8.0;15.0
Alternative VTC 1;50.0067377;20.97340840000004;0.6;58.0;19.0;5.0
Autocars Maison Neuve/ Saint Fons 1;50.7784939;15.761430399999995;0.6;52.0;7.0;11.0
Libor Válek - Jolly trans 1;50.79385389999999;15.826244999999973;0.6;56.0;8.0;15.0
Alexandr Coufalik EXPRESSBUS 1;48.7645645;2.1153142999999996;1.0;0.0;0.0;0.0
Reisedienst Bonte GmbH & Co.KG 2;50.9402799;1.9344521000000001;1.0;0.0;0.0;0.0
Ebenbeck-Reisen GmbH 2;52.39450189999999;16.944747000000007;0.6;49.0;48.0;3.0
Eberhardt-Reisen Richard Eberhardt GmbH 2;47.0834965;2.3857142999999996;1.0;0.0;0.0;0.0
Eichberger Reisen GmbH & Co. KG 2;52.47284089999999;16.875806000000008;0.6;83.0;8.0;23.0
Elite Traffic GmbH 2;53.1400578;23.140234800000034;0.6;29.0;8.0;6.0
Reisedienst Fuhrmann 2;52.998506000000006;18.651983599999994;0.6;53.0;28.0;5.0
Geißler-Reisen GmbH 2;54.216092;19.12337279999997;0.6;69.0;8.0;9.0
Retours (Gradliner) 2;51.1458609;15.008256999999958;0.6;55.0;8.0;9.0
Helmuts Reisen GmbH 2;51.0551451;17.00570270000003;0.6;55.0;8.0;9.0
Möbius Bus GbR 2;53.06372289999999;18.730105999999974;0.6;55.0;19.0;5.0
Primo Regio GmbH & Co. KG i.G. 2;47.924182;-1.945909;1.0;78.0;7.0;60.0
Stiefvater Linien John Stiefvater e.K. 2;53.1292027;17.99693419999994;0.6;78.0;7.0;45.0
Thürauf GmbH Reisebüro & Busreisen 2;53.01407629999999;18.56930179999995;0.6;78.0;7.0;45.0
UBBEN-Reisen GmbH 2;46.927244;-0.75888;1.0;63.0;49.0;150.0
Udo Diehl Reisen GmbH & Co. KG 2;46.862778000000006;-1.029499;1.0;63.0;49.0;150.0
Univers Reisen 2;46.574553;-1.003998;1.0;63.0;49.0;150.0
Welter's Reisen GmbH & Co.KG 2;46.943619;-1.288139;1.0;63.0;49.0;150.0
Werner Reisen OHG 2;43.670813;7.216394;1.0;53.0;19.0;3.0
Wiedenhoff Reisen 2;49.114940000000004;7.107905000000001;1.0;72.0;8.0;20.0
Watzke GesmbH & CO KG Verkehrsbetrieb 2;48.966164299999996;6.4566256;1.0;0.0;0.0;0.0
Kelder Reisen GmbH 2;45.6243641;-3.1306849;1.0;78.0;5.0;0.0
Lüftner Reisen 2;48.873012;2.282342;1.0;78.0;5.0;0.0
Bacher Touristik GmbH. 2;44.9096271;-0.2442258;1.0;0.0;0.0;0.0
Busmiete.ch AG 2;53.18643170000001;18.0444258;0.6;53.0;8.0;8.0
Ebner Reisen Ges.m.b.H. 2;46.1346929;0.1214248;1.0;0.0;0.0;0.0
Weiss Autobusunternehmung GmbH 2;51.2463097;22.568540999999986;0.6;71.0;8.0;18.0
HEROLÉ Bustouristik GmbH 2;49.960533899999994;18.700121999999965;0.6;61.0;8.0;9.0
Albert Rapp Autoverkehr 2;50.864140899999995;20.411279899999954;0.6;56.0;7.0;9.0
Voyages Jaccon 2;46.1438;1.039971;1.0;50.0;50.0;1.0
Autocars Bertolami 2;50.0856921;8.782361100000003;1.0;57.0;50.0;5.0
Voyages Gineste 2;41.790009999999995;12.6081132;1.0;55.0;21.0;15.0
Richou 2;43.140947;6.044882;1.0;90.0;7.0;50.0
Autocars Pays de Savoie 2;48.212086;-4.05832;1.0;90.0;7.0;50.0
Transarc 2;54.187262800000006;16.228884099999963;0.6;51.0;49.0;3.0
FH Tourisme 2;51.93542120000001;15.505665599999931;0.6;49.0;49.0;3.0
Voyages Ricouard 2;50.858363;20.526072;0.6;53.0;51.0;2.0
SAPS s.r.l. 2;50.2813945;18.958446699999968;0.6;50.0;8.0;6.0
Michielotto Autoservizi 2;50.2780739;19.2890099;0.6;61.0;49.0;5.0
TROIANI 2;46.1460499;-3.354572;1.0;0.0;0.0;0.0
Autoservizi Guizzetti s.r.l. 2;50.2737761;18.953828499999982;0.6;52.0;8.0;10.0
Schack Touristik GmbH & Co. KG 2;50.235642;18.961271099999976;0.6;52.0;8.0;10.0
Bamberger Busreisen Krapp GmbH 2;47.3930565;0.680005;1.0;0.0;0.0;0.0
V.I.T.A. S.p.A. 2;47.8707596;0.319414;1.0;63.0;9.0;7.0
Gebr. Maas GmbH & Co. KG 2;52.4314589;16.844379099999973;0.6;59.0;8.0;11.0
Busbetrieb Bettenbühl 2;52.123109;11.600459900000033;1.0;57.0;16.0;7.0
Ludwig Tours 2;53.508480000000006;13.320539999999935;1.0;48.0;18.0;5.0
WINK GmbH 2;52.77284;7.495040000000018;1.0;65.0;18.0;11.0
Demellier Tourisme 2;51.803734399999996;12.411456899999962;1.0;49.0;19.0;4.0
Bustouristik Happyday 2;52.43822000000001;11.801749999999972;1.0;49.0;48.0;3.0
Autokraft GmbH 2;54.17196479999999;19.4020213;0.6;50.0;7.0;5.0
Gérardin Autocars 2;51.4294423;21.068344799999977;0.6;50.0;8.0;4.0
Livenais Voyages 2;54.189051;16.170667999999978;0.6;51.0;47.0;7.0
TDS Autocars 2;53.4261253;14.508621800000016;0.6;49.0;34.0;3.0
Autocars GROUSSIN 2;48.368357;7.58093;1.0;80.0;8.0;20.0
Sarro Voyages 2;54.423151000000004;16.39991800000007;0.6;60.0;50.0;2.0
Lieutaud 2;45.61262;9.5048213;1.0;79.0;9.0;7.0
CARS HANGARD 2;38.0858742;13.3597803;1.0;54.0;7.0;10.0
Autocars Sarlin 2;53.52059200000001;12.713731999999936;1.0;57.0;53.0;3.0
SARL TRANSHORIZON AUTOCARS/ Saint-Denis-de-Pile & Montguyon 2;51.910852;4.2610343;1.0;0.0;0.0;0.0
PAVIN AUTOSERVIZI 2;53.38108649999999;14.664409299999988;0.6;50.0;49.0;3.0
Becker-Strelitz Reisen GmbH 2;52.1222439;16.122454999999945;0.6;49.0;8.0;5.0
Buszentrale Hamburg 2;53.429834;14.512549900000069;0.6;56.0;16.0;7.0
Mobilen Comfortclass Wojciech Orski 2;53.794033;20.43486489999998;0.6;51.0;8.0;4.0
Chaintrier 2;50.0634234;20.19897390000005;0.6;50.0;8.0;5.0
NAP Tourisme/ Le Rove & Aubagne 2;50.0319114;20.207966700000046;0.6;50.0;8.0;5.0
Raf Trans Sp. z o.o. 2;44.41668789999999;8.843099800000001;1.0;64.0;8.0;12.0
My Tourism Transdev 2;52.272682;13.351948099999962;1.0;57.0;55.0;1.0
Neubauer Touristik GmbH 2;52.265376200000006;13.536654;1.0;57.0;55.0;1.0
Autoservizi MERIDIONALI srl 2;48.158369;11.764372600000002;1.0;59.0;36.0;10.0
CHIRIATTI 2;51.3138;10.569989999999963;1.0;58.0;8.0;12.0
Rapides de Saone et Loire 2;47.951364;1.856524;1.0;57.0;53.0;90.0
Transports Migratour 2;49.8006039;19.059351200000037;0.6;16.0;9.0;2.0
VIVER 2;49.7318083;19.648706400000037;0.6;52.0;16.0;6.0
GARBELLINI 2;50.3539148;3.0725221;1.0;65.0;6.0;0.0
Voyages Seyt 2;49.8822875;19.47314510000001;0.6;59.0;29.0;6.0
IWA-TRANS Sylwester Sikora 2;49.439925099999996;1.0858287;1.0;0.0;0.0;0.0
ASTEL- Przewóz osób 2;43.587169;5.111104;1.0;63.0;19.0;135.0
P.U. DROLOFF 2;53.428861899999994;14.44750399999998;0.6;55.0;9.0;7.0
Hervouet 2;45.123948999999996;-0.55289;1.0;63.0;53.0;4.0
TudingBus 2;53.83718199999999;14.609991000000036;0.6;81.0;71.0;3.0
Salaün Autocars 2;50.118953000000005;12.350985000000001;1.0;32.0;19.0;3.0
F.H.U.Mercedes-Bus 2;50.125254999999996;12.338526;1.0;32.0;19.0;3.0
F.H.U. TRAVEL-PLUS 2;48.818086;2.370009;1.0;0.0;0.0;0.0
i.d.ee - Reisen 2;53.453550199999995;18.715051899999935;0.6;47.0;8.0;3.0
Graziani Viaggi S.r.l. 2;52.53814989999999;19.712616900000054;0.6;23.0;8.0;3.0
Ebenbeck-Reisen GmbH 3;53.74069300000001;20.49316190000002;0.6;56.0;8.0;5.0
Eberhardt-Reisen Richard Eberhardt GmbH 3;50.036496;14.237935;1.0;60.0;53.0;3.0
Eichberger Reisen GmbH & Co. KG 3;48.523485;-4.071303100000001;1.0;0.0;0.0;0.0
Reisedienst Fuhrmann 3;48.561588799999996;-4.5166184000000005;1.0;0.0;0.0;0.0
Helmuts Reisen GmbH 3;50.693071999999994;13.949879000000001;1.0;71.0;19.0;4.0
Bacher Touristik GmbH. 3;47.6345114;-2.941389;1.0;0.0;0.0;0.0
Busmiete.ch AG 3;52.5505796;19.689614900000038;0.6;51.0;8.0;5.0
Ebner Reisen Ges.m.b.H. 3;49.778713399999994;9.973085699999999;1.0;0.0;0.0;0.0
HEROLÉ Bustouristik GmbH 3;49.7927123;10.022906599999999;1.0;0.0;0.0;0.0
Voyages Jaccon 3;49.16923679999999;-0.2810143;1.0;0.0;0.0;0.0
Autocars Bertolami 3;50.127068;14.407658999999999;1.0;55.0;19.0;4.0
Transarc 3;43.587558;3.93541;1.0;0.0;0.0;0.0
Autokraft GmbH 3;43.621271;3.454214;1.0;0.0;0.0;0.0
Gérardin Autocars 3;44.003236;3.588004;1.0;0.0;0.0;0.0
TDS Autocars 3;41.8937145;12.375831699999999;1.0;56.0;54.0;3.0
Lieutaud 3;41.7479924;13.333383800000002;1.0;56.0;54.0;3.0
Raf Trans Sp. z o.o. 3;55.871463500000004;-4.016795199999933;1.0;52.0;16.0;10.0
My Tourism Transdev 3;50.687435;14.5254;1.0;61.0;49.0;3.0
Rapides de Saone et Loire 3;49.325384;13.596247;1.0;59.0;49.0;5.0
VIVER 3;46.430634000000005;0.8964479999999999;1.0;0.0;0.0;0.0
Voyages Seyt 3;44.567937;-0.22547399999999998;1.0;0.0;0.0;0.0
IWA-TRANS Sylwester Sikora 3;44.204135;-1.29627;1.0;0.0;0.0;0.0
Hervouet 3;44.833053;-0.474559;1.0;0.0;0.0;0.0
Ebner Reisen Ges.m.b.H. 4;45.832786;1.2660639999999999;1.0;0.0;0.0;0.0
Transarc 4;47.898765399999995;-3.7596023;1.0;0.0;0.0;0.0
My Tourism Transdev 4;45.714409;4.851428;1.0;0.0;0.0;0.0
Rapides de Saone et Loire 4;50.484312;13.618696;1.0;57.0;49.0;5.0
Hervouet 4;49.132469;16.606855;1.0;79.0;18.0;8.0
